	Feature	Degree Centrality	Betweenness Centrality	Eigenvector Centrality	Clustering Coefficient	Community
277	inter_2_VSAEstate1*MoranAuto_Mutability2	0.187066974595843	0.00897741662672647	0.141861776387843	0.695987654320988	Community 1
127	inter_2_VSAEstate1*QSOgrant47	0.187066974595843	0.00897741662672647	0.141861776387843	0.695987654320988	Community 1
146	inter_2_TPSA1*YPM	0.184757505773672	0.000902458723031189	0.141786317156588	0.713291139240506	Community 1
218	inter_2_TPSA1*GearyAuto_Mutability7	0.184757505773672	0.000902458723031189	0.141786317156588	0.713291139240506	Community 1
196	inter_2_MTPSA*YG	0.184757505773672	0.000902458723031189	0.141786317156588	0.713291139240506	Community 1
233	inter_2_MTPSA*GearyAuto_Mutability30	0.184757505773672	0.000902458723031189	0.141786317156588	0.713291139240506	Community 1
143	inter_2_MTPSA*MoranAuto_AvFlexibility24	0.184757505773672	0.000902458723031189	0.141786317156588	0.713291139240506	Community 1
248	inter_2_MTPSA*QSOSW19	0.184757505773672	0.000902458723031189	0.141786317156588	0.713291139240506	Community 1
252	inter_2_MTPSA*323	0.184757505773672	0.000902458723031189	0.141786317156588	0.713291139240506	Community 1
202	inter_2_TPSA1*GNF	0.184757505773672	0.000902458723031189	0.141786317156588	0.713291139240506	Community 1
247	inter_2_slogPVSA0*_ChargeC3	0.177829099307159	0.000809079728523391	0.138447498904918	0.737525632262474	Community 1
204	inter_2_slogPVSA0*MoreauBrotoAuto_AvFlexibility26	0.177829099307159	0.000809079728523391	0.138447498904918	0.737525632262474	Community 1
109	inter_2_MRVSA0*346	0.166281755196305	0.00295039555291632	0.121325914439467	0.677230046948357	Community 1
209	inter_2_MRVSA0*MoranAuto_Polarizability5	0.166281755196305	0.00295039555291632	0.121325914439467	0.677230046948357	Community 1
103	inter_2_MRVSA0*ISI	0.166281755196305	0.00295039555291632	0.121325914439467	0.677230046948357	Community 1
275	inter_2_LabuteASA*GearyAuto_ResidueASA10	0.159353348729792	0.00625999559470271	0.11257498097535	0.645780051150895	Community 1
228	inter_2_LabuteASA*GearyAuto_ResidueVol27	0.159353348729792	0.00625999559470271	0.11257498097535	0.645780051150895	Community 1
